PUHour,PUZone,month,count,,PUHour,PUZone,month,count,,PUHour,PUZone,month,count,,PUHour,PUZone,month,count
afternoon,Brooklyn Navy Yard,1,80,,afternoon,East Concourse/Concourse Village,2,77,,afternoon,Highbridge,3,85,,afternoon,Bushwick North,4,81
afternoon,Crown Heights South,1,79,,afternoon,Borough Park,2,61,,afternoon,Columbia Street,3,84,,afternoon,Corona,4,76
afternoon,Stapleton,1,74,,afternoon,Spuyten Duyvil/Kingsbridge,2,60,,afternoon,Bay Ridge,3,78,,afternoon,Windsor Terrace,4,73
afternoon,Borough Park,1,72,,afternoon,Crown Heights South,2,59,,afternoon,Borough Park,3,75,,afternoon,Borough Park,4,73
afternoon,Grymes Hill/Clifton,1,69,,afternoon,Highbridge,2,55,,afternoon,Windsor Terrace,3,64,,afternoon,Kensington,4,73
afternoon,Windsor Terrace,1,67,,afternoon,Ocean Hill,2,54,,afternoon,Bushwick North,3,64,,afternoon,East New York,4,68
afternoon,Brighton Beach,1,62,,afternoon,Bushwick North,2,49,,afternoon,Morrisania/Melrose,3,62,,afternoon,Bay Ridge,4,57
afternoon,Bay Ridge,1,60,,afternoon,Bay Ridge,2,47,,afternoon,North Corona,3,61,,afternoon,Mount Hope,4,56
afternoon,Kew Gardens Hills,1,58,,afternoon,Windsor Terrace,2,44,,afternoon,Crown Heights South,3,60,,afternoon,Morrisania/Melrose,4,56
afternoon,East New York,1,55,,afternoon,East New York,2,43,,afternoon,Ocean Hill,3,60,,afternoon,Ocean Parkway South,4,55
afternoon,Ocean Hill,1,55,,afternoon,Ridgewood,2,41,,afternoon,University Heights/Morris Heights,3,59,,afternoon,Howard Beach,4,44
afternoon,Highbridge,1,54,,afternoon,Bensonhurst West,2,41,,afternoon,Howard Beach,3,57,,afternoon,Canarsie,4,42
afternoon,Bushwick North,1,51,,afternoon,Kew Gardens Hills,2,40,,afternoon,Ocean Parkway South,3,56,,afternoon,Middle Village,4,41
afternoon,Middle Village,1,46,,afternoon,Canarsie,2,37,,afternoon,Midwood,3,55,,afternoon,Bensonhurst West,4,40
afternoon,Homecrest,1,44,,afternoon,Middle Village,2,37,,afternoon,Ridgewood,3,55,,afternoon,Cypress Hills,4,40
afternoon,Ridgewood,1,44,,afternoon,Gravesend,2,36,,afternoon,Mount Hope,3,48,,afternoon,Spuyten Duyvil/Kingsbridge,4,40
afternoon,Spuyten Duyvil/Kingsbridge,1,42,,afternoon,Morrisania/Melrose,2,35,,afternoon,Homecrest,3,47,,afternoon,Bedford Park,4,39
afternoon,Astoria Park,1,38,,afternoon,University Heights/Morris Heights,2,34,,afternoon,Spuyten Duyvil/Kingsbridge,3,45,,afternoon,North Corona,4,38
afternoon,Van Nest/Morris Park,1,38,,afternoon,Claremont/Bathgate,2,32,,afternoon,Westerleigh,3,42,,afternoon,Ocean Hill,4,37
afternoon,Canarsie,1,38,,afternoon,Midwood,2,30,,afternoon,Canarsie,3,41,,afternoon,Claremont/Bathgate,4,37
afternoon,North Corona,1,36,,afternoon,Van Nest/Morris Park,2,30,,afternoon,Claremont/Bathgate,3,37,,afternoon,Midwood,4,35
afternoon,Morrisania/Melrose,1,36,,afternoon,Astoria Park,2,29,,afternoon,Ozone Park,3,35,,afternoon,Erasmus,4,35
afternoon,Erasmus,1,33,,afternoon,North Corona,2,28,,afternoon,Astoria Park,3,35,,afternoon,Astoria Park,4,32
afternoon,Coney Island,1,32,,afternoon,Parkchester,2,27,,afternoon,Middle Village,3,33,,afternoon,Brownsville,4,31
afternoon,University Heights/Morris Heights,1,29,,afternoon,Brownsville,2,23,,afternoon,College Point,3,33,,afternoon,University Heights/Morris Heights,4,31
afternoon,Flatlands,1,29,,afternoon,Bellerose,2,23,,afternoon,Marble Hill,3,33,,afternoon,Ridgewood,4,30
afternoon,Gravesend,1,28,,afternoon,Flatlands,2,23,,afternoon,Kew Gardens Hills,3,33,,afternoon,East Tremont,4,29
afternoon,Queensboro Hill,1,28,,afternoon,Ozone Park,2,23,,afternoon,Brownsville,3,33,,afternoon,Flatlands,4,28
afternoon,Howard Beach,1,28,,afternoon,Marble Hill,2,22,,afternoon,Queensboro Hill,3,30,,afternoon,College Point,4,28
afternoon,Midwood,1,28,,afternoon,Marine Park/Floyd Bennett Field,2,22,,afternoon,Kingsbridge Heights,3,29,,afternoon,Heartland Village/Todt Hill,4,27
afternoon,East Flatbush/Farragut,1,27,,afternoon,Soundview/Bruckner,2,21,,afternoon,Parkchester,3,27,,afternoon,Crotona Park East,4,27
afternoon,Brownsville,1,26,,afternoon,Erasmus,2,21,,afternoon,Westchester Village/Unionport,3,27,,afternoon,Westchester Village/Unionport,4,26
afternoon,Sheepshead Bay,1,26,,afternoon,Howard Beach,2,21,,afternoon,Bensonhurst West,3,26,,afternoon,Coney Island,4,26
afternoon,Soundview/Castle Hill,1,24,,afternoon,Mount Hope,2,20,,afternoon,Hunts Point,3,26,,afternoon,Marble Hill,4,26
afternoon,East Tremont,1,23,,afternoon,East New York/Pennsylvania Avenue,2,20,,afternoon,Bedford Park,3,26,,afternoon,Kew Gardens Hills,4,25
afternoon,Claremont/Bathgate,1,23,,afternoon,Glendale,2,20,,afternoon,Van Nest/Morris Park,3,25,,afternoon,Bellerose,4,25
afternoon,Whitestone,1,23,,afternoon,Queens Village,2,20,,afternoon,Longwood,3,25,,afternoon,Bronx Park,4,25
afternoon,Woodhaven,1,22,,afternoon,Eastchester,2,20,,afternoon,Norwood,3,24,,afternoon,Sunset Park East,4,25
afternoon,East Flatbush/Remsen Village,1,22,,afternoon,Homecrest,2,20,,afternoon,Erasmus,3,24,,afternoon,Woodhaven,4,24
afternoon,Murray Hill-Queens,1,21,,afternoon,Van Cortlandt Village,2,20,,afternoon,Murray Hill-Queens,3,24,,afternoon,Glen Oaks,4,23
afternoon,Bellerose,1,21,,afternoon,Soundview/Castle Hill,2,20,,afternoon,Sunset Park East,3,22,,afternoon,Queens Village,4,23
afternoon,Hillcrest/Pomonok,1,21,,afternoon,Woodhaven,2,19,,afternoon,Whitestone,3,22,,afternoon,Soundview/Castle Hill,4,21
afternoon,College Point,1,20,,afternoon,Kingsbridge Heights,2,19,,afternoon,Flatlands,3,22,,afternoon,Homecrest,4,21
afternoon,Riverdale/North Riverdale/Fieldston,1,20,,afternoon,Bedford Park,2,18,,afternoon,Soundview/Bruckner,3,22,,afternoon,Auburndale,4,21
afternoon,Inwood Hill Park,1,20,,afternoon,Madison,2,18,,afternoon,Glendale,3,19,,afternoon,East Flatbush/Farragut,4,21
afternoon,Queens Village,1,20,,afternoon,Hillcrest/Pomonok,2,18,,afternoon,Springfield Gardens North,3,19,,afternoon,Bath Beach,4,20
afternoon,Westchester Village/Unionport,1,19,,afternoon,Jamaica Estates,2,18,,afternoon,Van Cortlandt Village,3,19,,afternoon,Van Nest/Morris Park,4,20
afternoon,Bedford Park,1,18,,afternoon,East Flatbush/Remsen Village,2,18,,afternoon,East New York/Pennsylvania Avenue,3,19,,afternoon,Murray Hill-Queens,4,19
