src,dst,count,month,avg_fare
Steinway,Long Island City/Queens Plaza,99,1,13.382727272727276
Steinway,Roosevelt Island,16,1,21.168125000000003
Steinway,Times Sq/Theatre District,52,1,36.21346153846154
Stuy Town/Peter Cooper Village,Murray Hill,1584,1,10.687354797979808
Stuyvesant Heights,Kensington,4,1,25.7625
Sunnyside,Gramercy,127,1,24.286141732283465
Sunset Park East,Bushwick South,2,1,30.05
Sunset Park East,East Williamsburg,1,1,25.8
Sutton Place/Turtle Bay North,Prospect-Lefferts Gardens,40,1,38.70175
Sutton Place/Turtle Bay North,Windsor Terrace,69,1,41.061449275362314
Times Sq/Theatre District,Allerton/Pelham Gardens,14,1,51.049285714285716
Times Sq/Theatre District,Briarwood/Jamaica Hills,45,1,48.092666666666666
TriBeCa/Civic Center,Bloomfield/Emerson Hill,7,1,65.07714285714286
TriBeCa/Civic Center,Crotona Park East,6,1,45.883333333333326
TriBeCa/Civic Center,Schuylerville/Edgewater Park,3,1,51.31333333333333
TriBeCa/Civic Center,Yorkville East,579,1,30.00438687392056
Two Bridges/Seward Park,Midtown South,265,1,17.273471698113205
UN/Turtle Bay South,Hudson Sq,300,1,20.364966666666657
UN/Turtle Bay South,Meatpacking/West Village West,489,1,18.419999999999987
UN/Turtle Bay South,Mount Hope,5,1,30.679999999999996
UN/Turtle Bay South,Springfield Gardens North,1,1,46.3
Upper East Side South,Longwood,16,1,28.133750000000003
Upper West Side South,Soundview/Castle Hill,7,1,36.48571428571429
Van Nest/Morris Park,Times Sq/Theatre District,1,1,40.3
Washington Heights North,Washington Heights North,404,1,12.646732673267318
Washington Heights South,SoHo,10,1,34.516000000000005
Washington Heights South,Woodhaven,4,1,60.602500000000006
West Chelsea/Hudson Yards,Lenox Hill West,946,1,19.191120507399592
West Concourse,Times Sq/Theatre District,3,1,31.966666666666665
Williamsburg (North Side),Gramercy,102,1,19.655490196078432
Williamsburg (South Side),Heartland Village/Todt Hill,2,1,53.38
Woodside,Bedford Park,1,1,52.61
World Trade Center,New Dorp/Midland Beach,2,1,71.465
Yorkville East,Seaport,207,1,25.217681159420284
Yorkville West,Brownsville,2,1,49.55
Astoria,Lincoln Square West,40,1,22.331750000000003
Astoria,Penn Station/Madison Sq West,113,1,26.359734513274333
Battery Park,Stuyvesant Heights,2,1,26.8
Battery Park City,East New York,11,1,37.76272727272727
Battery Park City,Howard Beach,1,1,70.84
Battery Park City,Marine Park/Mill Basin,2,1,68.74000000000001
Battery Park City,Ocean Parkway South,2,1,37.760000000000005
Bay Ridge,Battery Park,1,1,35.5
Bedford,Boerum Hill,36,1,13.846388888888889
Bedford,Bushwick North,78,1,13.73974358974359
Bedford,Long Island City/Hunters Point,6,1,21.853333333333335
Bedford,Midwood,4,1,23.8125
Bloomingdale,Belmont,5,1,32.616
Bloomingdale,University Heights/Morris Heights,13,1,20.76153846153846
Briarwood/Jamaica Hills,Long Island City/Queens Plaza,3,1,40.96666666666666
Bushwick North,Heartland Village/Todt Hill,1,1,71.83
Bushwick South,Kew Gardens,1,1,28.5
Central Harlem,Midtown East,228,1,20.47807017543859
Central Park,Richmond Hill,4,1,58.5925
Central Park,Upper East Side South,8777,1,9.266517033154745
Chinatown,Bedford,110,1,19.441363636363636
Claremont/Bathgate,Bloomingdale,1,1,24.36
Clinton Hill,Lower East Side,48,1,16.706666666666667
Co-Op City,Highbridge,2,1,29.8
Corona,Two Bridges/Seward Park,3,1,52.46333333333334
Crown Heights South,Sunset Park West,1,1,27.51
DUMBO/Vinegar Hill,Bay Ridge,5,1,29.02
Downtown Brooklyn/MetroTech,Clinton Hill,569,1,9.723567662565896
East Chelsea,Forest Hills,114,1,43.09938596491229
East Chelsea,Times Sq/Theatre District,9039,1,10.822626396725159
East Concourse/Concourse Village,Hamilton Heights,7,1,12.137142857142857
East Elmhurst,Murray Hill,13,1,43.78692307692308
East Harlem North,Sunset Park West,6,1,43.02
East Harlem South,Sheepshead Bay,4,1,67.725
East Tremont,Mott Haven/Port Morris,2,1,15.8
East Williamsburg,Upper West Side South,8,1,34.83125
Elmhurst,Rego Park,39,1,9.115897435897438
Elmhurst,UN/Turtle Bay South,3,1,40.48
Financial District North,Fresh Meadows,6,1,53.56
Financial District South,East Flatbush/Remsen Village,4,1,31.174999999999997
Flatbush/Ditmas Park,Flatlands,27,1,12.645185185185184
Flatbush/Ditmas Park,Ocean Parkway South,5,1,56.512
Flatiron,Brooklyn Heights,363,1,22.375840220385662
Flatiron,Clinton East,6799,1,11.370938373290116
Flushing Meadows-Corona Park,Washington Heights South,3,1,69.53
Fort Greene,Soundview/Bruckner,1,1,59.81
Fresh Meadows,Long Island City/Queens Plaza,1,1,30.3
Garment District,Charleston/Tottenville,1,1,99.38
Gowanus,Central Harlem North,3,1,43.68666666666667
Gowanus,Sheepshead Bay,5,1,36.96
Greenwich Village North,Williamsburg (South Side),598,1,19.41386287625417
Greenwich Village South,Windsor Terrace,105,1,29.90704761904762
Hamilton Heights,Bushwick South,1,1,43.8
Homecrest,Sunset Park East,1,1,20.8
JFK Airport,Glendale,293,1,31.997645051194517
Jamaica,Elmhurst,3,1,22.96666666666667
Kips Bay,Queens Village,5,1,53.33200000000001
LaGuardia Airport,Chinatown,229,1,46.09165938864627
LaGuardia Airport,Jamaica,405,1,27.88318518518516
Lenox Hill East,Coney Island,5,1,64.608
Lenox Hill East,Penn Station/Madison Sq West,2778,1,19.061159107271475
Lincoln Square West,East Village,391,1,23.864475703324796
Lincoln Square West,Marble Hill,12,1,33.86000000000001
Long Island City/Hunters Point,South Williamsburg,2,1,13.55
Lower East Side,East Williamsburg,1871,1,15.323479422768616
Manhattanville,Manhattan Valley,320,1,10.888406250000001
Manhattanville,South Ozone Park,1,1,54.8
Marble Hill,Spuyten Duyvil/Kingsbridge,4,1,7.15
Marine Park/Mill Basin,Financial District North,1,1,77.84
Maspeth,Flushing Meadows-Corona Park,5,1,15.016
Midtown East,Bedford Park,12,1,39.59583333333334
Midtown North,Sunset Park East,20,1,47.0385
Midtown North,Van Cortlandt Village,30,1,39.705666666666666
Midtown South,JFK Airport,2749,1,65.46714441615126
Midtown South,Kingsbridge Heights,15,1,36.57333333333334
Morningside Heights,Times Sq/Theatre District,429,1,20.754522144522134
Murray Hill,Van Cortlandt Park,5,1,43.065999999999995
NV,Sheepshead Bay,6,1,16.565
North Corona,LaGuardia Airport,6,1,14.876666666666665
Penn Station/Madison Sq West,Kingsbridge Heights,32,1,39.3140625
Penn Station/Madison Sq West,West Village,6559,1,9.53112822076535
Prospect Heights,Carroll Gardens,51,1,12.267450980392157
Prospect Heights,LaGuardia Airport,21,1,41.38428571428572
Prospect Park,NV,1,1,8.75
Queensbridge/Ravenswood,Greenpoint,105,1,11.184761904761906
Roosevelt Island,Park Slope,2,1,37.8
Seaport,Springfield Gardens South,3,1,66.80333333333333
SoHo,Park Slope,425,1,23.10851764705881
Soundview/Castle Hill,Van Nest/Morris Park,3,1,18.783333333333335
South Jamaica,Clinton East,20,1,60.1345
Spuyten Duyvil/Kingsbridge,Hunts Point,1,1,30.95
Stuyvesant Heights,NV,6,1,24.52333333333333
Sunnyside,Auburndale,3,1,33.016666666666666
Sunnyside,Highbridge Park,1,1,38.3
Sunnyside,Stuyvesant Heights,13,1,22.023846153846158
Sutton Place/Turtle Bay North,Douglaston,2,1,53.275
Sutton Place/Turtle Bay North,Manhattanville,77,1,24.1974025974026
Times Sq/Theatre District,Port Richmond,1,1,85.38
Times Sq/Theatre District,South Ozone Park,77,1,58.37805194805195
TriBeCa/Civic Center,Bushwick North,205,1,27.323999999999995
TriBeCa/Civic Center,DUMBO/Vinegar Hill,893,1,13.515543113101895
UN/Turtle Bay South,Spuyten Duyvil/Kingsbridge,23,1,39.28782608695652
Union Sq,East New York,19,1,44.083684210526314
Union Sq,Melrose South,38,1,32.17763157894737
Upper East Side North,Glen Oaks,2,1,70.32
Upper East Side South,Jamaica,11,1,49.86363636363637
Upper West Side North,Belmont,8,1,27.7075
Upper West Side North,Midtown North,4182,1,13.877044476327141
West Chelsea/Hudson Yards,Yorkville East,445,1,23.36348314606741
West Concourse,Pelham Parkway,7,1,25.3
West Farms/Bronx River,East Harlem South,1,1,38.3
Williamsburg (South Side),Chinatown,46,1,15.051739130434784
Yorkville West,Bedford Park,24,1,30.545416666666668
Yorkville West,Westchester Village/Unionport,13,1,28.475384615384616
Astoria,East Williamsburg,59,1,21.56949152542373
Astoria,Homecrest,1,1,64.8
Astoria Park,Old Astoria,12,1,6.186666666666665
Bay Terrace/Fort Totten,NA,1,1,87.3
Bloomingdale,Cypress Hills,6,1,55.0
Borough Park,DUMBO/Vinegar Hill,1,1,21.8
Briarwood/Jamaica Hills,Lenox Hill West,7,1,63.34142857142857
Brooklyn Heights,Murray Hill-Queens,1,1,43.3
Brooklyn Navy Yard,Prospect Park,1,1,20.0
Bushwick North,Two Bridges/Seward Park,8,1,17.575
Bushwick South,Elmhurst,9,1,22.352222222222224
Bushwick South,Ocean Parkway South,1,1,33.8
