PUHour,PUZone,month,count
midnight,Crotona Park East,1,33
afternoon,Erasmus,1,33
midnight,Queensboro Hill,1,33
morning,Ridgewood,1,33
midnight,West Farms/Bronx River,1,33
afternoon,Coney Island,1,32
morning,Queensboro Hill,1,31
evening,East Flatbush/Farragut,1,30
morning,Crotona Park East,1,29
morning,Pelham Parkway,1,29
afternoon,University Heights/Morris Heights,1,29
evening,Sunset Park East,1,29
evening,Cypress Hills,1,29
midnight,Van Nest/Morris Park,1,29
afternoon,Flatlands,1,29
morning,Parkchester,1,29
morning,Bedford Park,1,29
midnight,Belmont,1,29
afternoon,Gravesend,1,28
morning,Canarsie,1,28
afternoon,Queensboro Hill,1,28
afternoon,Howard Beach,1,28
evening,Van Nest/Morris Park,1,28
afternoon,Midwood,1,28
afternoon,East Flatbush/Farragut,1,27
evening,East Tremont,1,27
midnight,Pelham Parkway,1,27
morning,Ocean Parkway South,1,27
evening,Norwood,1,27
morning,Van Cortlandt Village,1,27
evening,Co-Op City,1,27
morning,Marble Hill,1,26
midnight,Marine Park/Mill Basin,1,26
afternoon,Brownsville,1,26
midnight,Brighton Beach,1,26
morning,Middle Village,1,26
midnight,Brooklyn Navy Yard,1,26
afternoon,Sheepshead Bay,1,26
morning,Bensonhurst East,1,25
midnight,Glendale,1,25
morning,Whitestone,1,25
evening,Kingsbridge Heights,1,25
evening,Bedford Park,1,25
morning,Sunset Park East,1,24
midnight,Schuylerville/Edgewater Park,1,24
afternoon,Soundview/Castle Hill,1,24
evening,Ocean Parkway South,1,24
morning,College Point,1,24
morning,Brownsville,1,24
evening,Midwood,1,23
afternoon,East Tremont,1,23
morning,Soundview/Castle Hill,1,23
midnight,Jamaica Estates,1,23
afternoon,Claremont/Bathgate,1,23
evening,Bayside,1,23
evening,Longwood,1,23
afternoon,Whitestone,1,23
afternoon,Woodhaven,1,22
evening,Dyker Heights,1,22
midnight,Ozone Park,1,22
midnight,Fresh Meadows,1,22
afternoon,East Flatbush/Remsen Village,1,22
midnight,Parkchester,1,22
evening,Astoria Park,1,22
morning,Kingsbridge Heights,1,22
midnight,Bayside,1,22
evening,Riverdale/North Riverdale/Fieldston,1,22
evening,Woodhaven,1,22
afternoon,Murray Hill-Queens,1,21
morning,East Flatbush/Farragut,1,21
morning,Jamaica Estates,1,21
morning,Hunts Point,1,21
midnight,Springfield Gardens North,1,21
afternoon,Bellerose,1,21
evening,Stapleton,1,21
midnight,Hillcrest/Pomonok,1,21
midnight,Williamsbridge/Olinville,1,21
midnight,Dyker Heights,1,21
afternoon,Hillcrest/Pomonok,1,21
morning,East Flatbush/Remsen Village,1,21
midnight,Gravesend,1,20
morning,Springfield Gardens North,1,20
afternoon,College Point,1,20
afternoon,Riverdale/North Riverdale/Fieldston,1,20
evening,Van Cortlandt Village,1,20
afternoon,Inwood Hill Park,1,20
evening,Saint Michaels Cemetery/Woodside,1,20
evening,East New York/Pennsylvania Avenue,1,20
afternoon,Queens Village,1,20
morning,East Tremont,1,20
midnight,Highbridge Park,1,20
evening,Marble Hill,1,20
morning,Norwood,1,20
midnight,Marble Hill,1,19
evening,Coney Island,1,19
morning,Inwood Hill Park,1,19
evening,Soundview/Bruckner,1,19
evening,Belmont,1,19
midnight,Bensonhurst East,1,19
evening,Bensonhurst West,1,19
evening,Borough Park,1,19
afternoon,Westchester Village/Unionport,1,19
midnight,Homecrest,1,19
evening,Parkchester,1,19
evening,Queensboro Hill,1,19
afternoon,Bedford Park,1,18
afternoon,Parkchester,1,18
morning,Bath Beach,1,18
midnight,Woodlawn/Wakefield,1,18
evening,Westchester Village/Unionport,1,18
midnight,Astoria Park,1,18
morning,Riverdale/North Riverdale/Fieldston,1,18
midnight,Arrochar/Fort Wadsworth,1,18
morning,Madison,1,18
morning,West Farms/Bronx River,1,18
evening,Whitestone,1,17
evening,Highbridge Park,1,17
morning,Hillcrest/Pomonok,1,17
morning,East New York/Pennsylvania Avenue,1,17
afternoon,Bensonhurst East,1,17
midnight,Sheepshead Bay,1,17
evening,Williamsbridge/Olinville,1,17
evening,Ozone Park,1,17
evening,Fordham South,1,17
evening,Glendale,1,17
afternoon,Hunts Point,1,17
evening,Schuylerville/Edgewater Park,1,16
morning,Williamsbridge/Olinville,1,16
midnight,College Point,1,16
midnight,Queens Village,1,16
evening,Pelham Parkway,1,16
morning,Ozone Park,1,16
afternoon,Soundview/Bruckner,1,16
evening,West Farms/Bronx River,1,15
afternoon,Marine Park/Mill Basin,1,15
morning,Longwood,1,15
evening,Marine Park/Mill Basin,1,15
midnight,Bellerose,1,15
morning,Bensonhurst West,1,15
evening,Howard Beach,1,15
evening,Sheepshead Bay,1,15
afternoon,Crotona Park East,1,15
afternoon,Norwood,1,14
morning,Queens Village,1,14
evening,Crotona Park East,1,14
afternoon,Madison,1,14
afternoon,Glendale,1,14
midnight,Co-Op City,1,14
afternoon,Springfield Gardens North,1,14
evening,Claremont/Bathgate,1,14
evening,Soundview/Castle Hill,1,14
afternoon,Glen Oaks,1,13
